
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
Figma.exe                     3064 Console                    5     14,776 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:13:20 N/A                                                                     
servicehost.exe              15056 Services                   0     15,104 K Unknown         N/A                                                     0:01:59 N/A                                                                     
uihost.exe                    7380 Console                    5     10,572 K Not Responding  SHIVANSHOWNSTHI\Shivansh Singh                          0:02:22 OLEChannelWnd                                                           
svchost.exe                   3324 Services                   0      1,220 K Unknown         N/A                                                     0:00:00 N/A                                                                     
BlueStacksServices.exe       31340 Console                    5     24,028 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:05:01 N/A                                                                     
BlueStacksServices.exe       24976 Console                    5      7,356 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:04 N/A                                                                     
BlueStacksServices.exe       11296 Console                    5     12,528 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:05 N/A                                                                     
BlueStacksServices.exe       34176 Console                    5      4,708 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:01 N/A                                                                     
brave.exe                    35816 Console                    5     26,080 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:01:10 N/A                                                                     
CrossDeviceService.exe       20272 Console                    5     18,060 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:06:12 GDI+ Window (CrossDeviceService.exe)                                    
RuntimeBroker.exe            31576 Console                    5      1,612 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
svchost.exe                   1696 Services                   0      4,192 K Unknown         N/A                                                     0:09:19 N/A                                                                     
svchost.exe                  38424 Services                   0     11,144 K Unknown         N/A                                                     0:02:40 N/A                                                                     
adb.exe                      28972 Console                    5      1,752 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:25 ADB Power Notification Window                                           
OfficeClickToRun.exe         38520 Services                   0      7,732 K Unknown         N/A                                                     0:01:04 N/A                                                                     
AppVShNotify.exe             36096 Console                    5         20 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
SearchIndexer.exe             6220 Services                   0     12,832 K Unknown         N/A                                                     0:09:26 N/A                                                                     
msedge.exe                    3056 Console                    5     61,500 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:05:02 TechTitans_HackFest2_IdeaSubmission.pdf - Personal - Microsoft? Edge    
msedge.exe                   19540 Console                    5      1,780 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
msedge.exe                   31740 Console                    5      6,996 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:19 N/A                                                                     
msedge.exe                   39924 Console                    5     19,928 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:09 OleMainThreadWndName                                                    
msedge.exe                    6836 Console                    5      2,672 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:01 N/A                                                                     
msedge.exe                    9340 Console                    5      3,868 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:02 N/A                                                                     
msedge.exe                   40344 Console                    5     38,932 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:02:46 N/A                                                                     
msedge.exe                   34392 Console                    5      3,824 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:10 N/A                                                                     
msedge.exe                    6936 Console                    5      4,708 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:13 N/A                                                                     
SDXHelper.exe                37996 Console                    5      5,596 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:59 DDE Server Window                                                       
msedge.exe                   18448 Console                    5     10,624 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:09 N/A                                                                     
msedge.exe                   38428 Console                    5      2,440 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:01 N/A                                                                     
msedge.exe                     636 Console                    5      2,864 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:01 OleMainThreadWndName                                                    
RuntimeBroker.exe            21664 Console                    5      2,232 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:01 N/A                                                                     
brave.exe                    35112 Console                    5     49,060 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:03:20 N/A                                                                     
explorer.exe                  4728 Console                    5   1,57,128 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:24:27 N/A                                                                     
msedge.exe                   29368 Console                    5     19,348 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:55 N/A                                                                     
TextInputHost.exe            24252 Console                    5     20,060 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:01:01 Windows Input Experience                                                
svchost.exe                  20852 Services                   0      7,064 K Unknown         N/A                                                     0:00:05 N/A                                                                     
SearchHost.exe               17484 Console                    5     11,528 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:07 Search                                                                  
msedgewebview2.exe           32884 Console                    5     23,604 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:01:12 N/A                                                                     
msedgewebview2.exe           22164 Console                    5        424 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
msedgewebview2.exe           37684 Console                    5      9,048 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:05 N/A                                                                     
msedgewebview2.exe           12620 Console                    5      8,856 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:03 OLEChannelWnd                                                           
msedgewebview2.exe           24132 Console                    5      2,524 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
msedgewebview2.exe           14984 Console                    5      4,556 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:09 N/A                                                                     
svchost.exe                  39524 Services                   0      1,484 K Unknown         N/A                                                     0:00:00 N/A                                                                     
brave.exe                    15556 Console                    5     28,696 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:58 N/A                                                                     
svchost.exe                  30564 Services                   0        816 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                  32612 Services                   0      1,216 K Unknown         N/A                                                     0:00:00 N/A                                                                     
LockApp.exe                  16088 Console                    5         20 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:01 Windows Default Lock Screen                                             
RuntimeBroker.exe            17652 Console                    5     10,840 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:08 N/A                                                                     
WmiPrvSE.exe                  1480 Services                   0     20,536 K Unknown         N/A                                                     0:56:12 N/A                                                                     
HPSystemEventUtilityHost.     8016 Console                    5     12,424 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:06 N/A                                                                     
StartMenuExperienceHost.e    26812 Console                    5     14,528 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:05 Start                                                                   
backgroundTaskHost.exe       25704 Console                    5      6,648 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:02 N/A                                                                     
RuntimeBroker.exe            25752 Console                    5      2,608 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
conhost.exe                  36420 Console                    5        268 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
powershell.exe               30224 Console                    5        876 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:15 N/A                                                                     
msedge.exe                   28532 Console                    5      4,716 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:08 N/A                                                                     
conhost.exe                  27676 Console                    5        268 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
powershell.exe               31296 Console                    5        880 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:13 N/A                                                                     
conhost.exe                  25824 Console                    5        268 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
powershell.exe               21940 Console                    5        892 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:13 N/A                                                                     
conhost.exe                  23976 Console                    5        264 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
powershell.exe               40664 Console                    5        928 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:13 N/A                                                                     
conhost.exe                  21096 Console                    5        268 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
powershell.exe               31420 Console                    5        908 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:14 N/A                                                                     
conhost.exe                   2228 Console                    5        264 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
powershell.exe               29160 Console                    5        904 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:13 N/A                                                                     
conhost.exe                  18284 Console                    5        268 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
powershell.exe               40280 Console                    5      1,488 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:14 N/A                                                                     
conhost.exe                  37252 Console                    5        264 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
powershell.exe                5172 Console                    5        884 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:14 N/A                                                                     
conhost.exe                  21000 Console                    5        264 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
powershell.exe               32428 Console                    5        904 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:13 N/A                                                                     
conhost.exe                  10792 Console                    5        260 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
powershell.exe               36164 Console                    5        916 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:14 N/A                                                                     
conhost.exe                  35460 Console                    5        260 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
powershell.exe               27672 Console                    5      2,052 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:13 N/A                                                                     
conhost.exe                  35184 Console                    5        268 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
powershell.exe               25100 Console                    5        908 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:13 N/A                                                                     
conhost.exe                  23180 Console                    5        264 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
powershell.exe               39604 Console                    5      1,388 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:13 N/A                                                                     
conhost.exe                  41192 Console                    5        264 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
powershell.exe               11072 Console                    5      5,072 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:14 N/A                                                                     
conhost.exe                   1168 Console                    5        268 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
powershell.exe               21344 Console                    5     13,104 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:13 N/A                                                                     
conhost.exe                   4264 Console                    5        268 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
powershell.exe               38844 Console                    5      2,560 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:14 N/A                                                                     
conhost.exe                  21424 Console                    5        268 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
powershell.exe                9776 Console                    5      3,932 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:14 N/A                                                                     
brave.exe                    10424 Console                    5     29,268 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:25 N/A                                                                     
brave.exe                    33224 Console                    5     41,592 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:02:08 N/A                                                                     
brave.exe                    21320 Console                    5     12,220 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:08 N/A                                                                     
brave.exe                    12108 Console                    5     24,992 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:17 N/A                                                                     
brave.exe                     3212 Console                    5     32,240 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:13 N/A                                                                     
UserOOBEBroker.exe           39964 Console                    5         20 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
ShellHost.exe                17300 Console                    5      4,928 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 Quick Settings                                                          
comet.exe                    29740 Console                    5   1,15,512 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:10:09 You're describing multi-tenant company onboarding + tenant-specific poli
comet.exe                    38484 Console                    5      1,804 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
comet.exe                     6108 Console                    5   1,09,912 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:08:05 N/A                                                                     
comet.exe                    21672 Console                    5     21,944 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:51 OleMainThreadWndName                                                    
comet.exe                    39220 Console                    5      4,012 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:02 N/A                                                                     
comet.exe                    18132 Console                    5     20,468 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:31 N/A                                                                     
comet.exe                     7044 Console                    5     71,728 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:01:02 N/A                                                                     
comet.exe                    21952 Console                    5     53,048 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:34 N/A                                                                     
comet.exe                    16504 Console                    5   2,98,856 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:15:17 N/A                                                                     
comet.exe                     8772 Console                    5     79,376 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:01:08 N/A                                                                     
comet.exe                    34336 Console                    5     18,120 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:01:01 N/A                                                                     
brave.exe                    15932 Console                    5     56,720 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:06:26 N/A                                                                     
backgroundTaskHost.exe       40784 Console                    5         16 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
brave.exe                    28160 Console                    5     46,792 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:33 N/A                                                                     
brave.exe                    39408 Console                    5     50,788 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:01:42 N/A                                                                     
brave.exe                    25916 Console                    5     27,616 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:21 N/A                                                                     
comet.exe                    27916 Console                    5     14,012 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:01 N/A                                                                     
brave.exe                    18852 Console                    5     58,952 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:11:24 N/A                                                                     
brave.exe                    40628 Console                    5     16,332 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:03 N/A                                                                     
brave.exe                     4344 Console                    5     25,544 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:18 N/A                                                                     
ShellExperienceHost.exe      28784 Console                    5      2,484 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:10 New notification                                                        
RuntimeBroker.exe             4112 Console                    5      3,048 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:01 OleMainThreadWndName                                                    
brave.exe                    27716 Console                    5     21,196 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:55 N/A                                                                     
brave.exe                    16944 Console                    5   1,34,412 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:29 N/A                                                                     
Antigravity.exe              23968 Console                    5     78,116 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:01:47 policy_guard - Antigravity - AccountsPage.tsx                           
Antigravity.exe              31840 Console                    5        484 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
Antigravity.exe              15304 Console                    5   1,48,736 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:07:53 N/A                                                                     
Antigravity.exe              23952 Console                    5     14,140 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:07 OleMainThreadWndName                                                    
Antigravity.exe               4796 Console                    5   6,61,040 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:51:00 N/A                                                                     
Antigravity.exe              17508 Console                    5      2,128 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:01 N/A                                                                     
Antigravity.exe              22004 Console                    5     24,552 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:08 OleMainThreadWndName                                                    
Antigravity.exe              37468 Console                    5     50,492 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:28 OleMainThreadWndName                                                    
Antigravity.exe              41072 Console                    5      5,016 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
Antigravity.exe               3116 Console                    5      1,824 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
Antigravity.exe              33924 Console                    5     27,032 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:27 OleMainThreadWndName                                                    
Antigravity.exe              40196 Console                    5   1,56,436 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:02:40 OleMainThreadWndName                                                    
conhost.exe                  15332 Console                    5      1,736 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
powershell.exe               10884 Console                    5      3,620 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:01 N/A                                                                     
language_server_windows_x    14484 Console                    5   2,84,448 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:04:13 N/A                                                                     
conhost.exe                  32936 Console                    5        200 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
python.exe                    2144 Console                    5        748 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
python3.11.exe                3764 Console                    5     13,036 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:06 OleMainThreadWndName                                                    
conhost.exe                  32436 Console                    5        308 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
powershell.exe                7376 Console                    5      1,992 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:01 N/A                                                                     
Antigravity.exe              30672 Console                    5     15,728 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
node.exe                     27308 Console                    5        112 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:01 N/A                                                                     
cmd.exe                       7308 Console                    5         32 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
node.exe                     24272 Console                    5     16,060 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:10 N/A                                                                     
esbuild.exe                  37704 Console                    5      5,596 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:02 N/A                                                                     
conhost.exe                  11844 Console                    5        340 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
powershell.exe               27744 Console                    5      5,100 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:04 N/A                                                                     
Antigravity.exe              28008 Console                    5        332 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:06 N/A                                                                     
Antigravity.exe              37100 Console                    5   3,12,828 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:01:57 N/A                                                                     
Antigravity.exe               8388 Console                    5      2,028 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
conhost.exe                  24364 Console                    5        300 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
powershell.exe               20092 Console                    5      2,716 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:03 N/A                                                                     
python3.11.exe                7572 Console                    5     11,404 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:02 OleMainThreadWndName                                                    
conhost.exe                  34520 Console                    5        188 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
brave.exe                    28228 Console                    5   1,40,852 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:01:22 N/A                                                                     
backgroundTaskHost.exe       12096 Console                    5         48 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
RuntimeBroker.exe            34824 Console                    5      1,308 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
Antigravity.exe              40932 Console                    5      2,608 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
comet.exe                    28560 Console                    5      3,624 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
conhost.exe                  41324 Console                    5      1,156 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
powershell.exe               13684 Console                    5      6,928 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:02 N/A                                                                     
conhost.exe                  38800 Console                    5      2,584 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:01 N/A                                                                     
powershell.exe               18640 Console                    5     37,964 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:05 N/A                                                                     
svchost.exe                  17460 Services                   0      6,048 K Unknown         N/A                                                     0:00:00 N/A                                                                     
brave.exe                    27840 Console                    5   2,18,140 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:12 N/A                                                                     
brave.exe                    10800 Console                    5     30,460 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
curl.exe                      1012 Console                    5      5,872 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
conhost.exe                  14204 Console                    5      7,676 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
powershell.exe                8680 Console                    5     94,368 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:01 N/A                                                                     
brave.exe                    21972 Console                    5     51,812 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
brave.exe                    15552 Console                    5     44,372 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
tasklist.exe                  8436 Console                    5     13,600 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
