
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
svchost.exe                   5040 Services                   0     27,536 K Unknown         N/A                                                     0:21:57 N/A                                                                     
svchost.exe                   5104 Services                   0      1,240 K Unknown         N/A                                                     0:00:17 N/A                                                                     
svchost.exe                   4120 Services                   0      8,620 K Unknown         N/A                                                     0:00:40 N/A                                                                     
svchost.exe                   5148 Services                   0      2,764 K Unknown         N/A                                                     0:00:08 N/A                                                                     
spoolsv.exe                   5204 Services                   0      2,888 K Unknown         N/A                                                     0:00:11 N/A                                                                     
WmiPrvSE.exe                  5324 Services                   0     22,528 K Unknown         N/A                                                     0:09:06 N/A                                                                     
svchost.exe                   5524 Services                   0      2,132 K Unknown         N/A                                                     0:00:04 N/A                                                                     
svchost.exe                   5604 Services                   0     44,464 K Unknown         N/A                                                     0:14:58 N/A                                                                     
ETDService.exe                5612 Services                   0        232 K Unknown         N/A                                                     0:00:09 N/A                                                                     
DtsApo4Service.exe            5620 Services                   0         68 K Unknown         N/A                                                     0:00:13 N/A                                                                     
IntelAudioService.exe         5628 Services                   0      3,468 K Unknown         N/A                                                     0:00:09 N/A                                                                     
HPPrintScanDoctorService.     5672 Services                   0      2,336 K Unknown         N/A                                                     0:00:06 N/A                                                                     
svchost.exe                   5688 Services                   0     29,704 K Unknown         N/A                                                     0:05:21 N/A                                                                     
ipf_uf.exe                    5696 Services                   0      1,368 K Unknown         N/A                                                     0:00:00 N/A                                                                     
jhi_service.exe               5716 Services                   0         16 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   5724 Services                   0      2,576 K Unknown         N/A                                                     0:00:05 N/A                                                                     
unsecapp.exe                  5748 Services                   0      3,084 K Unknown         N/A                                                     0:00:04 N/A                                                                     
HPCommRecovery.exe            5836 Services                   0      6,560 K Unknown         N/A                                                     0:00:10 N/A                                                                     
MpDefenderCoreService.exe     5912 Services                   0     12,256 K Unknown         N/A                                                     0:00:36 N/A                                                                     
RtkAudUService64.exe          5964 Services                   0      3,120 K Unknown         N/A                                                     0:00:55 N/A                                                                     
svchost.exe                   5996 Services                   0      2,380 K Unknown         N/A                                                     0:00:05 N/A                                                                     
MsMpEng.exe                   6056 Services                   0   1,72,104 K Unknown         N/A                                                     7:21:15 N/A                                                                     
svchost.exe                   6084 Services                   0        228 K Unknown         N/A                                                     0:00:00 N/A                                                                     
WMIRegistrationService.ex     6112 Services                   0         20 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   5092 Services                   0      7,628 K Unknown         N/A                                                     0:00:11 N/A                                                                     
wslservice.exe                6176 Services                   0      5,036 K Unknown         N/A                                                     0:00:07 N/A                                                                     
XtuService.exe                6212 Services                   0      6,672 K Unknown         N/A                                                     0:00:08 N/A                                                                     
svchost.exe                   6240 Services                   0      2,364 K Unknown         N/A                                                     0:00:06 N/A                                                                     
RtkBtManServ.exe              6404 Services                   0      1,480 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                   6440 Services                   0      8,540 K Unknown         N/A                                                     0:02:28 N/A                                                                     
svchost.exe                   7224 Services                   0      1,100 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                   8552 Services                   0     10,844 K Unknown         N/A                                                     0:03:37 N/A                                                                     
svchost.exe                   9104 Services                   0     15,324 K Unknown         N/A                                                     1:45:32 N/A                                                                     
gamingservicesnet.exe         7020 Services                   0        544 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                   9376 Services                   0      1,304 K Unknown         N/A                                                     0:00:01 N/A                                                                     
gamingservices.exe            9416 Services                   0     15,284 K Unknown         N/A                                                     0:05:39 N/A                                                                     
svchost.exe                   9580 Services                   0      1,620 K Unknown         N/A                                                     0:00:04 N/A                                                                     
svchost.exe                   9800 Services                   0      2,000 K Unknown         N/A                                                     0:00:07 N/A                                                                     
NgcIso.exe                   10360 Services                   0        124 K Unknown         N/A                                                     0:00:04 N/A                                                                     
svchost.exe                  10972 Services                   0      9,828 K Unknown         N/A                                                     0:00:26 N/A                                                                     
svchost.exe                   9680 Services                   0      1,304 K Unknown         N/A                                                     0:00:02 N/A                                                                     
svchost.exe                   9996 Services                   0      1,380 K Unknown         N/A                                                     0:00:03 N/A                                                                     
svchost.exe                  11552 Services                   0      6,708 K Unknown         N/A                                                     0:00:24 N/A                                                                     
AggregatorHost.exe           12064 Services                   0      1,256 K Unknown         N/A                                                     0:00:04 N/A                                                                     
svchost.exe                  10920 Services                   0        812 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                  12260 Services                   0      2,108 K Unknown         N/A                                                     0:00:07 N/A                                                                     
svchost.exe                  12296 Services                   0      9,092 K Unknown         N/A                                                     0:01:11 N/A                                                                     
